,userid,content,predict
167,5787015,在处理位图图像时，所编辑的是像素而不是对象或形状，它的大小和质量取决于图像中的像素点的多少，每平方英寸中所含像素越多，图像越清晰，颜色之间的混和也越平滑,2
168,5787015,计算机存储位图像实际上是存储图像的各个像素的位置和颜色数据等到信息，所以图像越清晰，像素越多，相应的存储容量也越大,2
169,5787015,位图图像与矢量图像相比更容易模仿照片似的真实效果,2
170,5787015,位图图像的主要优点在于表现力强、细腻、层次多、细节多，可以十分容易的模拟出像照片一样的真实效果,2
171,5787015,由于是对图像中的像素进行编辑，所以在对图像进行拉伸、放大或缩小等到处理时，其清晰度和光滑度会受到影响,2
172,5787015,位图图像可以通过数字相机、扫描或PhotoCD获得，也可以通过其他设计软件生成位图图像，也称点阵图像或绘制图像，是由称作像素的单个点组成的,2
173,5787015,当放大位图时，可以看见构成图像的单个图片元素,2
174,5787015,扩大位图尺寸就是增大单个像素，会使线条和形状显得参差不齐,2
175,5787015,但是如果从稍远一点的位置观看，位图图像的颜色和形状又是连续的，这就是位图的特点,2
176,5787015,矢量图像，也称绘图图像，在数学上定义为一系列点与点之间的关系，矢量图可以任意放大或缩小而不会出现图像失真现象,2
177,5787015,扫描仪数码相机手写板各种打印机和绘图仪声卡音箱视频卡电视接收卡摄像头,2
178,5787015,硬件部分：包括主机、硬盘驱动器、显示器、网卡、扫描仪、音频信息处理硬件、视频信息处理硬件及光盘驱动器等,2
179,5787015,软件部分：包括多媒体计算机的操作系统，在原基础上扩充多媒体资源管理与信息处理的功能,2
180,5787015,多媒体编辑工具包括字处理软件、绘图软件、图像处理软件、动画制作软件、声音编辑软件以及视频编辑软件,2
181,5787015,1、文本:由语言文字和符号字符组成的数据文件,2
182,5787015,可以表达文字信息，说明的更加清楚,2
183,5787015,2、图像:通过描述画面中各个像素的亮度和颜色等组成的数据文件,1
184,5787015,也叫点位图或位图图像,2
185,5787015,表达实际事物,2
186,5787015,3、图形:矢量图形的简称,1
187,5787015,即生成一幅图形由数学方法组成的数据文件,2
188,5787015,一般可将图形看作是图像的抽象,2
189,5787015,4、动画:将静态的图像、图形及连环图画等按一定时间顺序显示而形成连续的动态画面,4
190,5787015,人为创造的表现形式,2
191,5787015,5、音频:声音信号，即相应于人类听觉可感知范围内的频率,1
192,5787015,6、视频:可视信号，即计算机屏幕上显示出来的动态信息，如动态图形、动态图像、动画等,2
193,5787015,1、选择查询：在查询设计器中，给出查询条件2、参数查询：是一种动态查询，这种查询会在一个查询窗口中输入查询条件，点确定，直接给出查询结果,2
194,5787015,这种查询完全由用户控制,2
195,5787015,参数查询一般创建在选择查询基础上，在运行查询时会出现一个或多个对话框，要求输入查询条件,2
196,5787015,分为单参数和多参数，在条件行写[参数内容]3、操作查询：用于创建新表或者对现有表中的数据进行修改和数据维护，能批量的对数据进行导出、删除操作,2
197,5787015,分为：?更新查询?追加查询?删除查询?生成表查询，这设计视图中进行相应查询操作即可，最后返回原数据表查看结果,2
198,5787015,4、交叉表查询：通常以一个字段作为表的行标题，以另一个字段的取值作为列标题，在行和列的交叉点单元格处获得数据的汇总信息，以达到数据统计的目的,2
199,5787015,方便分析和使用,2
200,5787015,可采取交叉别查询向导和设计视图完成,2
201,5787015,输入掩码：限制用户输入数据的格式，对数据输入做出控制以保证输入正确的数据,2
202,5787015,可使用掩码向导，也可自定义输入掩码,2
203,5787015,默认值：添加新记录时自动向此字段分配指定值,1
204,5787015,设置有效性规则和有效性文本：输入数据时有时需要限定输入数据的内容,2
205,5787015,数据类型：文本/文本或数字文本备注/长文本数字/数学计算的数值数据日期和时间/日期和时间数据货币/货币计算是否/只含两值之一的数据计算字段/计算结果超链接/邮箱、网址和文档附件/文档、图片等数据OLE对象和查阅/图片自动编号型/一般用于主关键字,2
206,5787015,建表方法：1、使用设计器创建表2、使用数据表视图创建表3、通过数据导入创建表建表要素：字段名称、数据类型、字段大小三种视图模式：列表视图、设计视图、数据表视图,2
207,5787015,作用：是着重用逻辑的过程或主要的业务来描述对象系统，描述系统要“做什么”，或者说具有哪些功能,1
208,5787015,"根据分析系统的实际需求决策构建数据库逻辑关系模型,定义数据库物体结构及其关系",2
209,5787015,它关联着数据仓库的逻辑模型和物理模型两方,2
210,5787015,构成：数据结构数据操作约束条件,2
211,5787015,数据库概念模型的作用：1、收集信息2、标识对象3、建立对象间的关系4、标识对象信息模型数据库概念模型的设计方法：采用E/R图设计,2
212,5787015,特点：1、数据共享性2、数据冗余度小3、数据一致性,2
213,5787015,4、具有数据完整性措施,2
214,5787015,5、可以采用交互式或程序方式操作构成：DBS（数据库系统）=OS（操作系统）+DB（数据）+DBMS（数据库管理喜用）+DBA（数据库管理员）,5
215,5787015,1、人工管理阶段2、文件系统阶段3、数据库技术阶段,2
216,5787015,在51之前我做完了4单元测试题，提交了，进度条显示了,2
217,5787015,今儿来发现没成绩了，又要重新做,2
218,5787015,动画能使文稿看起来更加赏心悦目，更具有感染力及表现力,2
219,5787015,好的动画风格统一，力求简约，不花哨,2
220,5787015,符合当前场景,2
221,5787015,封面页分章节内容页总结页,2
222,5787015,如图所示：这是没有次坐标抽的图标,2
223,5787015,这是有次坐标轴的图标,2
224,5787015,次要坐标轴可以更精确的定位图标的X，Y轴,2
225,5787015,进入“图标选项”，选择“坐标抽”，分类（X）轴点“自动”,5
226,5787015,通配符即符号“?”，可以替代任何字符，如图：,2
227,5787015,我用的WPS，打开“工具”/“选项”，切换到“自定义序列”，输入数学、计算机、代数、英语，如图所示：点击”添加“，点击”确定“,5
228,5787015,1、快捷键ctrl+a///全选2、编辑区任何地方三击左键////选中该段3、鼠标选择要选的区域4、把鼠标放在要选区域的最前面，滚动轴滚到末端后按住shift建店左键选中整个区域5、按住ctrl鼠标左键选可跳跃选择区域！！！6、将鼠标放在最左边，待鼠标改为反方向时点左键//选中该行,2
229,5787015,在打开的“图片工具”功能区的“格式”选项卡中，单击“排列”分组中的“位置”按钮，则在打开的预设位置列表中选择合适的文字环绕方式,5
230,5787015,这些文字环绕方式包括“顶端居左，四周型文字环绕”、“顶端居中，四周型文字环绕”、“中间居左，四周型文字环绕”、“中间居中，周型文字环绕”、“中间居右，四周型文字环绕”、“底端居左，四周型文字环绕”、“底端居中，四周型文字环绕”、“底端居右，四周型文字环绕”九种方式,2
231,5787015,如果用户希望在Word2010文档中设置更富的文字环绕方式，可以在“排列”分组中单击“自动换行”按钮，在打开的菜单中选择合适的文字环绕方式即可,1
232,5787015,格式刷：格式刷位于“格式”工具栏上，就是一把“刷子”,1
233,5787015,用它“刷”格式，可以快速将指定段落或文本的格式延用到其他段落或文本上，让我们免受重复设置之苦！样式：是指用有意义的名称保存的字符格式和段落格式的集合，这样在编排重复格式时，先创建一个该格式的样式，然后在需要的地方套用这种样式，就无须一次次地对它们进行重复的格式化操作了,1
234,5787015,节：文档的一部分，可在其中设置某些页面格式选项,2
235,5787015,若要更改例如行编号、列数或页眉和页脚等属性，请创建一个新的节,2
236,5787015,分栏：一个页面分开多个版面，节约版面，易阅读查看,1
237,5787015,项目符号和编号：是放在文本前的点或其它符号，起到强调作用,2
238,5787015,合理使用项目符号和编号，可以使文档的层次结构更清晰、更有条理,2
239,5787015,1.普通视图：在Word2003中，普通视图是默认的视图方式，普通视图简化了页面的布局，这样可快速键入或编辑文字,2
240,5787015,普通视图的重新分页和屏幕刷新速度在各种视图中是最快的，在普通视图下有些信息诸如页眉/页脚、图形标注等都不显示，若要在普通视图中进行页眉/页脚操作，则需要从“视图”菜单项中选择“页眉和页脚”，打开页眉/页脚窗口,2
241,5787015,普通视图下的自动分页符以点线表示，人工分页符以带有“分页符”字样的虚线来表示，分节符以带有“分节符”字样的双点线表示，如图1所示,2
242,5787015,如果要在普通视图下进一步提高Word2003的显示和处理文档的速度，可以从“工具”菜单中选择“选项”，在打开的“选项”对话框中单击“视图”标签，选中“草稿字体”，“确定”即可,5
243,5787015,2.Web版式视图：Web版式视图是新增的用以取代Word97的联机版式视图来满足用户需要的,2
244,5787015,Web版式视图主要用于HTML文档的编辑，HTML（*.htm）是Web网页格式文件，在Web版式视图方式下编辑文档，可以更准确地看到其在Web浏览器中显示的效果,2
245,5787015,此外，在该视图方式下还可以应用Word2000创建和编辑Web页面,2
246,5787015,3.页面视图：在页面视图中，可以看到对象在实际打印页面的位置，在该视图中可以查看和编辑页眉和页脚，只需用鼠标双击页眉/页脚区，Word2003就会自动显示“页眉/页脚”工具栏，还可以在该视图中调整页边距，以及处理分栏、图形对象和边框,2
247,5787015,屏幕顶端和两边的暗灰色背景就是对应于所设置的打印纸张类型之外的区域，如图2所示,2
248,5787015,在页面视图中可以显示或隐藏非打印字符，这些非打印字符不会被打印出来，只是作为控制字符显示在屏幕上，以便于查看或编辑文档，例如回车符、段落标记、制表符、空格等,2
249,5787015,这样就可以很容易地看到是否在单词之间添加了多余的空格，键入的是空格还是制表符,2
250,5787015,Word使用箭头代表制表符，圆点代表空格,2
251,5787015,如果在文档中绘制图形或加入标注时，Word2003将自动切换到页面视图模式,2
252,5787015,4.大纲视图：大纲视图显示文档的层次结构，如章、节、标题等，这对于长文档来说，可以让用户清晰地看到它的概况简要,2
253,5787015,在大纲视图中，可折叠文档只查看到某级标题，或者扩展文档以查看整个文档，还可以通过拖动标题来移动、复制或重新组织正文,2
254,5787015,进入大纲视图时会自动出现大纲工具栏，其中就包括有关主控文档的按钮，主控文档用来组织和维护一个长文档，主控文档视图可以将多篇Word文档组成一篇主控文档，然后对长文档进行修改编辑,2
255,5787015,在浏览或编辑文档中相距较远的两部分信息可以使用屏幕拆分方式，将显示窗口拆分成两个窗口，拆分后的上下两个窗口可以使用不同的视图,2
256,5787015,另外还有一种阅读版式视图，以图书的分栏样式显示Word文档，“文件”按钮、功能区等窗口元素被隐藏起来,5
257,5787015,在阅读版式视图中，用户还可以单击“工具”按钮选择各种阅读工具,1
258,5787015,批注：对部分文字或操作（删除、增加文字等）进行注解、诠释,1
259,5787015,修订：修订是指修改格式、删除或增加内容,3
260,5787015,修订也是一种操作，所以修订的过程在修订完成后也将以批注的形式在文段附近展示,2
261,5787015,对齐方式、缩进、段间距、行间距,1
